pre_calc_label_losses|pre_calc_L_Ci_S_matrices|pre_calc_L_Ci_matrices|pre_calc_L_matrices|Time (s)|Time (s)|Time (s)|Top-1|Top-1|Top-1|Top-5|Top-5|Top-5|Top-10|Top-10|Top-10
||||mean|median|amin|mean|median|amin|mean|median|amin|mean|median|amin
False|False|False|False|172.89436530833336|173.6047096910006|167.07508171799964|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
False|False|False|True|174.2460334719999|174.03000851700017|173.78942474799987|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
False|False|True|False|180.6495801330008|179.14222692800104|176.80325033700137|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
False|False|True|True|177.3314121763333|177.45848320699952|174.87473289100035|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
False|True|False|False|103.21786027099976|103.1358217979996|101.66079338999953|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
False|True|False|True|97.96343285733353|96.18089775499993|95.68462281100074|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
False|True|True|False|98.49424559633341|98.55753430499954|97.75926988300034|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
False|True|True|True|104.31491896533377|102.09895419800068|98.69875060400045|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
True|False|False|False|149.61989429366682|150.86801251900033|146.66333579099955|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
True|False|False|True|156.43587414499962|150.61207623999962|150.22907571499945|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
True|False|True|False|156.197172573|155.9913967499997|153.6298701630003|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
True|False|True|True|159.1910123993333|159.89018382500035|156.78297280700008|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
True|True|False|False|79.81499166333317|80.33113312400019|78.31632608499967|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
True|True|False|True|79.1572834026668|78.55214930200054|78.31933937299982|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
True|True|True|False|83.82284351999988|83.60326523699996|81.78696168199986|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
True|True|True|True|89.1624803523335|90.02873207100038|85.60262925200004|12.0|12.0|12.0|26.0|26.0|26.0|36.0|36.0|36.0
